5.09.2016	2,9457
6.09.2016	2,9224
7.09.2016	2,9364
8.09.2016	2,9512
9.09.2016	2,963
12.09.2016	2,9675
13.09.2016	2,9846
14.09.2016	2,9794
15.09.2016	2,9687
16.09.2016	2,9809
19.09.2016	2,9771
20.09.2016	2,9781
21.09.2016	2,9551
22.09.2016	2,944
23.09.2016	2,9672
26.09.2016	2,981
27.09.2016	2,9746
28.09.2016	2,9798
29.09.2016	2,9997
30.09.2016	2,9992
3.10.2016	3,0188
4.10.2016	3,0578
5.10.2016	3,0516
6.10.2016	3,0397
7.10.2016	3,051
10.10.2016	3,0718
11.10.2016	3,084
12.10.2016	3,0853
13.10.2016	3,0858
14.10.2016	3,0905
17.10.2016	3,096
18.10.2016	3,0953
19.10.2016	3,0616
20.10.2016	3,0601
21.10.2016	3,0814
24.10.2016	3,076
25.10.2016	3,0711
26.10.2016	3,0813
27.10.2016	3,1138
28.10.2016	3,1069
31.10.2016	3,0939
1.11.2016	3,1116
2.11.2016	3,1138
3.11.2016	3,1101
4.11.2016	3,1569
7.11.2016	3,1681
8.11.2016	3,155
9.11.2016	3,2099
10.11.2016	3,2509
11.11.2016	3,2522
14.11.2016	3,29
15.11.2016	3,2906
16.11.2016	3,3234
17.11.2016	3,3706
18.11.2016	3,3753
21.11.2016	3,3616
22.11.2016	3,3844
23.11.2016	3,3941
24.11.2016	3,4455
25.11.2016	3,4468
28.11.2016	3,4148
29.11.2016	3,4088
30.11.2016	3,437
1.12.2016	3,5037
2.12.2016	3,519
5.12.2016	3,5231
6.12.2016	3,4456
7.12.2016	3,3902
8.12.2016	3,4434
9.12.2016	3,4869
12.12.2016	3,4688
13.12.2016	3,4899
14.12.2016	3,5323
15.12.2016	3,5119
16.12.2016	3,5068
19.12.2016	3,5331
20.12.2016	3,5275
21.12.2016	3,5089
22.12.2016	3,5114
23.12.2016	3,5169
26.12.2016	3,5118
27.12.2016	3,5214
28.12.2016	3,54
29.12.2016	3,523
30.12.2016	3,5277
2.01.2017	3,5445
3.01.2017	3,5943
4.01.2017	3,5713
5.01.2017	3,5927
6.01.2017	3,6445
9.01.2017	3,7129
10.01.2017	3,7885
11.01.2017	3,8647
12.01.2017	3,7597
13.01.2017	3,723
16.01.2017	3,8042
17.01.2017	3,761
18.01.2017	3,7966
19.01.2017	3,8273
20.01.2017	3,7655
23.01.2017	3,7573
24.01.2017	3,7833
25.01.2017	3,8313
26.01.2017	3,844
27.01.2017	3,8775
30.01.2017	3,7818
31.01.2017	3,7734
1.02.2017	3,7705
2.02.2017	3,7371
3.02.2017	3,6976
6.02.2017	3,6839
7.02.2017	3,7451
8.02.2017	3,7178
9.02.2017	3,6831
10.02.2017	3,6953
13.02.2017	3,6717
14.02.2017	3,6503
15.02.2017	3,6601
16.02.2017	3,6666
17.02.2017	3,629
20.02.2017	3,6245
21.02.2017	3,6203
22.02.2017	3,5802
23.02.2017	3,5691
24.02.2017	3,607
27.02.2017	3,6072
28.02.2017	3,6472
1.03.2017	3,6543
2.03.2017	3,728
3.03.2017	3,7029
6.03.2017	3,7132
7.03.2017	3,6807
8.03.2017	3,7467
9.03.2017	3,7747
10.03.2017	3,7299
13.03.2017	3,7418
14.03.2017	3,7426
15.03.2017	3,6754
16.03.2017	3,6256
17.03.2017	3,6344
20.03.2017	3,616
21.03.2017	3,6329
22.03.2017	3,6184
23.03.2017	3,6348
24.03.2017	3,6108
27.03.2017	3,6166
28.03.2017	3,6582
29.03.2017	3,6459
30.03.2017	3,652
31.03.2017	3,6352
3.04.2017	3,6449
4.04.2017	3,679
5.04.2017	3,6991
6.04.2017	3,7111
7.04.2017	3,7299
10.04.2017	3,7294
